WHO_REGION,ISO_3_CODE,country,epiweek,new_hospitalization,new_icu,iso_year,iso_week_number
WPRO,NZL,NEW ZEALAND,2024-04-29,210,9,2024,18
AMRO,USA,UNITED STATES OF AMERICA,2024-04-29,370,,2024,18
WPRO,NZL,NEW ZEALAND,2024-05-06,199,7,2024,19
AMRO,USA,UNITED STATES OF AMERICA,2024-05-06,383,,2024,19
WPRO,NZL,NEW ZEALAND,2024-05-13,272,4,2024,20
AMRO,USA,UNITED STATES OF AMERICA,2024-05-13,424,,2024,20
WPRO,NZL,NEW ZEALAND,2024-05-20,351,13,2024,21
AMRO,USA,UNITED STATES OF AMERICA,2024-05-20,443,,2024,21
WPRO,NZL,NEW ZEALAND,2024-05-27,371,8,2024,22
AMRO,USA,UNITED STATES OF AMERICA,2024-05-27,532,,2024,22
WPRO,NZL,NEW ZEALAND,2024-06-03,339,17,2024,23
AMRO,USA,UNITED STATES OF AMERICA,2024-06-03,554,,2024,23
WPRO,NZL,NEW ZEALAND,2024-06-10,285,9,2024,24
AMRO,USA,UNITED STATES OF AMERICA,2024-06-10,627,,2024,24
WPRO,NZL,NEW ZEALAND,2024-06-17,281,13,2024,25
AMRO,USA,UNITED STATES OF AMERICA,2024-06-17,708,,2024,25
WPRO,NZL,NEW ZEALAND,2024-06-24,217,10,2024,26
AMRO,USA,UNITED STATES OF AMERICA,2024-06-24,885,,2024,26
WPRO,NZL,NEW ZEALAND,2024-07-01,190,2,2024,27
AMRO,USA,UNITED STATES OF AMERICA,2024-07-01,1019,,2024,27
WPRO,NZL,NEW ZEALAND,2024-07-08,202,5,2024,28
AMRO,USA,UNITED STATES OF AMERICA,2024-07-08,1103,,2024,28
WPRO,NZL,NEW ZEALAND,2024-07-15,211,8,2024,29
AMRO,USA,UNITED STATES OF AMERICA,2024-07-15,1126,,2024,29
WPRO,NZL,NEW ZEALAND,2024-07-22,161,6,2024,30
AMRO,USA,UNITED STATES OF AMERICA,2024-07-22,1389,,2024,30
WPRO,NZL,NEW ZEALAND,2024-07-29,155,4,2024,31
AMRO,USA,UNITED STATES OF AMERICA,2024-07-29,1480,,2024,31
WPRO,NZL,NEW ZEALAND,2024-08-05,135,2,2024,32
AMRO,USA,UNITED STATES OF AMERICA,2024-08-05,1622,,2024,32
WPRO,NZL,NEW ZEALAND,2024-08-12,162,5,2024,33
AMRO,USA,UNITED STATES OF AMERICA,2024-08-12,1592,,2024,33
WPRO,NZL,NEW ZEALAND,2024-08-19,150,2,2024,34
AMRO,USA,UNITED STATES OF AMERICA,2024-08-19,1475,,2024,34
WPRO,NZL,NEW ZEALAND,2024-08-26,99,5,2024,35
AMRO,USA,UNITED STATES OF AMERICA,2024-08-26,1400,,2024,35
WPRO,NZL,NEW ZEALAND,2024-09-02,82,2,2024,36
AMRO,USA,UNITED STATES OF AMERICA,2024-09-02,1368,,2024,36
WPRO,NZL,NEW ZEALAND,2024-09-09,76,7,2024,37
AMRO,USA,UNITED STATES OF AMERICA,2024-09-09,1456,,2024,37
WPRO,NZL,NEW ZEALAND,2024-09-16,72,2,2024,38
AMRO,USA,UNITED STATES OF AMERICA,2024-09-16,1274,,2024,38
WPRO,NZL,NEW ZEALAND,2024-09-23,75,1,2024,39
AMRO,USA,UNITED STATES OF AMERICA,2024-09-23,1120,,2024,39
WPRO,NZL,NEW ZEALAND,2024-09-30,95,1,2024,40
AMRO,USA,UNITED STATES OF AMERICA,2024-09-30,1029,,2024,40
WPRO,NZL,NEW ZEALAND,2024-10-07,80,5,2024,41
AMRO,USA,UNITED STATES OF AMERICA,2024-10-07,880,,2024,41
WPRO,NZL,NEW ZEALAND,2024-10-14,77,1,2024,42
AMRO,USA,UNITED STATES OF AMERICA,2024-10-14,719,,2024,42
WPRO,NZL,NEW ZEALAND,2024-10-21,67,3,2024,43
AMRO,USA,UNITED STATES OF AMERICA,2024-10-21,731,,2024,43
WPRO,NZL,NEW ZEALAND,2024-10-28,91,5,2024,44
AMRO,USA,UNITED STATES OF AMERICA,2024-10-28,622,,2024,44
WPRO,NZL,NEW ZEALAND,2024-11-04,105,5,2024,45
AMRO,USA,UNITED STATES OF AMERICA,2024-11-04,603,,2024,45
WPRO,NZL,NEW ZEALAND,2024-11-11,88,4,2024,46
AMRO,USA,UNITED STATES OF AMERICA,2024-11-11,576,,2024,46
WPRO,NZL,NEW ZEALAND,2024-11-18,96,9,2024,47
AMRO,USA,UNITED STATES OF AMERICA,2024-11-18,586,,2024,47
WPRO,NZL,NEW ZEALAND,2024-11-25,103,2,2024,48
AMRO,USA,UNITED STATES OF AMERICA,2024-11-25,623,,2024,48
WPRO,NZL,NEW ZEALAND,2024-12-02,97,3,2024,49
AMRO,USA,UNITED STATES OF AMERICA,2024-12-02,737,,2024,49
WPRO,NZL,NEW ZEALAND,2024-12-09,110,4,2024,50
AMRO,USA,UNITED STATES OF AMERICA,2024-12-09,812,,2024,50
