areaType,areaName,areaCode,date,covidOccupiedMVBeds
overview,United Kingdom,K02000001,2021-09-15,1081
overview,United Kingdom,K02000001,2021-09-14,1060
overview,United Kingdom,K02000001,2021-09-13,1056
overview,United Kingdom,K02000001,2021-09-12,1055
overview,United Kingdom,K02000001,2021-09-11,1027
overview,United Kingdom,K02000001,2021-09-10,1056
overview,United Kingdom,K02000001,2021-09-09,1051
overview,United Kingdom,K02000001,2021-09-08,1060
overview,United Kingdom,K02000001,2021-09-07,1047
overview,United Kingdom,K02000001,2021-09-06,1062
overview,United Kingdom,K02000001,2021-09-05,1018
overview,United Kingdom,K02000001,2021-09-04,1019
overview,United Kingdom,K02000001,2021-09-03,1034
overview,United Kingdom,K02000001,2021-09-02,1038
overview,United Kingdom,K02000001,2021-09-01,1030
overview,United Kingdom,K02000001,2021-08-31,1014
overview,United Kingdom,K02000001,2021-08-30,984
overview,United Kingdom,K02000001,2021-08-29,971
overview,United Kingdom,K02000001,2021-08-28,953
overview,United Kingdom,K02000001,2021-08-27,988
overview,United Kingdom,K02000001,2021-08-26,982
overview,United Kingdom,K02000001,2021-08-25,974
overview,United Kingdom,K02000001,2021-08-24,957
overview,United Kingdom,K02000001,2021-08-23,942
overview,United Kingdom,K02000001,2021-08-22,963
overview,United Kingdom,K02000001,2021-08-21,955
overview,United Kingdom,K02000001,2021-08-20,955
overview,United Kingdom,K02000001,2021-08-19,928
overview,United Kingdom,K02000001,2021-08-18,909
overview,United Kingdom,K02000001,2021-08-17,925
overview,United Kingdom,K02000001,2021-08-16,918
overview,United Kingdom,K02000001,2021-08-15,898
overview,United Kingdom,K02000001,2021-08-14,892
overview,United Kingdom,K02000001,2021-08-13,892
overview,United Kingdom,K02000001,2021-08-12,882
overview,United Kingdom,K02000001,2021-08-11,871
overview,United Kingdom,K02000001,2021-08-10,874
overview,United Kingdom,K02000001,2021-08-09,859
overview,United Kingdom,K02000001,2021-08-08,856
overview,United Kingdom,K02000001,2021-08-07,854
overview,United Kingdom,K02000001,2021-08-06,870
overview,United Kingdom,K02000001,2021-08-05,871
overview,United Kingdom,K02000001,2021-08-04,881
overview,United Kingdom,K02000001,2021-08-03,887
overview,United Kingdom,K02000001,2021-08-02,895
overview,United Kingdom,K02000001,2021-08-01,877
overview,United Kingdom,K02000001,2021-07-31,893
overview,United Kingdom,K02000001,2021-07-30,889
overview,United Kingdom,K02000001,2021-07-29,869
overview,United Kingdom,K02000001,2021-07-28,853
overview,United Kingdom,K02000001,2021-07-27,848
overview,United Kingdom,K02000001,2021-07-26,820
overview,United Kingdom,K02000001,2021-07-25,779
overview,United Kingdom,K02000001,2021-07-24,755
overview,United Kingdom,K02000001,2021-07-23,715
overview,United Kingdom,K02000001,2021-07-22,699
overview,United Kingdom,K02000001,2021-07-21,647
overview,United Kingdom,K02000001,2021-07-20,618
overview,United Kingdom,K02000001,2021-07-19,611
overview,United Kingdom,K02000001,2021-07-18,582
overview,United Kingdom,K02000001,2021-07-17,583
overview,United Kingdom,K02000001,2021-07-16,573
overview,United Kingdom,K02000001,2021-07-15,551
overview,United Kingdom,K02000001,2021-07-14,545
overview,United Kingdom,K02000001,2021-07-13,522
overview,United Kingdom,K02000001,2021-07-12,482
overview,United Kingdom,K02000001,2021-07-11,454
overview,United Kingdom,K02000001,2021-07-10,448
overview,United Kingdom,K02000001,2021-07-09,437
overview,United Kingdom,K02000001,2021-07-08,417
overview,United Kingdom,K02000001,2021-07-07,417
overview,United Kingdom,K02000001,2021-07-06,392
overview,United Kingdom,K02000001,2021-07-05,369
overview,United Kingdom,K02000001,2021-07-04,336
overview,United Kingdom,K02000001,2021-07-03,327
overview,United Kingdom,K02000001,2021-07-02,321
overview,United Kingdom,K02000001,2021-07-01,300
overview,United Kingdom,K02000001,2021-06-30,287
overview,United Kingdom,K02000001,2021-06-29,283
overview,United Kingdom,K02000001,2021-06-28,297
overview,United Kingdom,K02000001,2021-06-27,263
overview,United Kingdom,K02000001,2021-06-26,256
overview,United Kingdom,K02000001,2021-06-25,257
overview,United Kingdom,K02000001,2021-06-24,259
overview,United Kingdom,K02000001,2021-06-23,246
overview,United Kingdom,K02000001,2021-06-22,250
overview,United Kingdom,K02000001,2021-06-21,228
overview,United Kingdom,K02000001,2021-06-20,210
overview,United Kingdom,K02000001,2021-06-19,215
overview,United Kingdom,K02000001,2021-06-18,223
overview,United Kingdom,K02000001,2021-06-17,210
overview,United Kingdom,K02000001,2021-06-16,208
overview,United Kingdom,K02000001,2021-06-15,206
overview,United Kingdom,K02000001,2021-06-14,188
overview,United Kingdom,K02000001,2021-06-13,188
overview,United Kingdom,K02000001,2021-06-12,169
overview,United Kingdom,K02000001,2021-06-11,161
overview,United Kingdom,K02000001,2021-06-10,158
overview,United Kingdom,K02000001,2021-06-09,159
overview,United Kingdom,K02000001,2021-06-08,154
overview,United Kingdom,K02000001,2021-06-07,148
overview,United Kingdom,K02000001,2021-06-06,145
overview,United Kingdom,K02000001,2021-06-05,135
overview,United Kingdom,K02000001,2021-06-04,130
overview,United Kingdom,K02000001,2021-06-03,134
overview,United Kingdom,K02000001,2021-06-02,129
overview,United Kingdom,K02000001,2021-06-01,136
overview,United Kingdom,K02000001,2021-05-31,122
overview,United Kingdom,K02000001,2021-05-30,124
overview,United Kingdom,K02000001,2021-05-29,119
overview,United Kingdom,K02000001,2021-05-28,124
overview,United Kingdom,K02000001,2021-05-27,120
overview,United Kingdom,K02000001,2021-05-26,125
overview,United Kingdom,K02000001,2021-05-25,128
overview,United Kingdom,K02000001,2021-05-24,121
overview,United Kingdom,K02000001,2021-05-23,120
overview,United Kingdom,K02000001,2021-05-22,123
overview,United Kingdom,K02000001,2021-05-21,124
overview,United Kingdom,K02000001,2021-05-20,123
overview,United Kingdom,K02000001,2021-05-19,122
overview,United Kingdom,K02000001,2021-05-18,124
overview,United Kingdom,K02000001,2021-05-17,125
overview,United Kingdom,K02000001,2021-05-16,123
overview,United Kingdom,K02000001,2021-05-15,121
overview,United Kingdom,K02000001,2021-05-14,124
overview,United Kingdom,K02000001,2021-05-13,129
overview,United Kingdom,K02000001,2021-05-12,136
overview,United Kingdom,K02000001,2021-05-11,138
overview,United Kingdom,K02000001,2021-05-10,149
overview,United Kingdom,K02000001,2021-05-09,144
overview,United Kingdom,K02000001,2021-05-08,151
overview,United Kingdom,K02000001,2021-05-07,159
overview,United Kingdom,K02000001,2021-05-06,163
overview,United Kingdom,K02000001,2021-05-05,182
overview,United Kingdom,K02000001,2021-05-04,181
overview,United Kingdom,K02000001,2021-05-03,187
overview,United Kingdom,K02000001,2021-05-02,196
overview,United Kingdom,K02000001,2021-05-01,188
overview,United Kingdom,K02000001,2021-04-30,185
overview,United Kingdom,K02000001,2021-04-29,196
overview,United Kingdom,K02000001,2021-04-28,208
overview,United Kingdom,K02000001,2021-04-27,214
overview,United Kingdom,K02000001,2021-04-26,227
overview,United Kingdom,K02000001,2021-04-25,231
overview,United Kingdom,K02000001,2021-04-24,240
overview,United Kingdom,K02000001,2021-04-23,243
overview,United Kingdom,K02000001,2021-04-22,261
overview,United Kingdom,K02000001,2021-04-21,276
overview,United Kingdom,K02000001,2021-04-20,300
overview,United Kingdom,K02000001,2021-04-19,318
overview,United Kingdom,K02000001,2021-04-18,311
overview,United Kingdom,K02000001,2021-04-17,323
overview,United Kingdom,K02000001,2021-04-16,332
overview,United Kingdom,K02000001,2021-04-15,329
overview,United Kingdom,K02000001,2021-04-14,351
overview,United Kingdom,K02000001,2021-04-13,370
overview,United Kingdom,K02000001,2021-04-12,377
overview,United Kingdom,K02000001,2021-04-11,385
overview,United Kingdom,K02000001,2021-04-10,385
overview,United Kingdom,K02000001,2021-04-09,405
overview,United Kingdom,K02000001,2021-04-08,421
overview,United Kingdom,K02000001,2021-04-07,440
overview,United Kingdom,K02000001,2021-04-06,453
overview,United Kingdom,K02000001,2021-04-05,461
overview,United Kingdom,K02000001,2021-04-04,469
overview,United Kingdom,K02000001,2021-04-03,478
overview,United Kingdom,K02000001,2021-04-02,485
overview,United Kingdom,K02000001,2021-04-01,517
overview,United Kingdom,K02000001,2021-03-31,547
overview,United Kingdom,K02000001,2021-03-30,568
overview,United Kingdom,K02000001,2021-03-29,583
overview,United Kingdom,K02000001,2021-03-28,582
overview,United Kingdom,K02000001,2021-03-27,594
overview,United Kingdom,K02000001,2021-03-26,615
overview,United Kingdom,K02000001,2021-03-25,630
overview,United Kingdom,K02000001,2021-03-24,682
overview,United Kingdom,K02000001,2021-03-23,711
overview,United Kingdom,K02000001,2021-03-22,748
overview,United Kingdom,K02000001,2021-03-21,768
overview,United Kingdom,K02000001,2021-03-20,787
overview,United Kingdom,K02000001,2021-03-19,830
overview,United Kingdom,K02000001,2021-03-18,879
overview,United Kingdom,K02000001,2021-03-17,925
overview,United Kingdom,K02000001,2021-03-16,968
overview,United Kingdom,K02000001,2021-03-15,1016
overview,United Kingdom,K02000001,2021-03-14,1049
overview,United Kingdom,K02000001,2021-03-13,1087
overview,United Kingdom,K02000001,2021-03-12,1110
overview,United Kingdom,K02000001,2021-03-11,1192
overview,United Kingdom,K02000001,2021-03-10,1236
overview,United Kingdom,K02000001,2021-03-09,1292
overview,United Kingdom,K02000001,2021-03-08,1356
overview,United Kingdom,K02000001,2021-03-07,1394
overview,United Kingdom,K02000001,2021-03-06,1449
overview,United Kingdom,K02000001,2021-03-05,1542
overview,United Kingdom,K02000001,2021-03-04,1589
overview,United Kingdom,K02000001,2021-03-03,1647
overview,United Kingdom,K02000001,2021-03-02,1709
overview,United Kingdom,K02000001,2021-03-01,1806
overview,United Kingdom,K02000001,2021-02-28,1783
overview,United Kingdom,K02000001,2021-02-27,1903
overview,United Kingdom,K02000001,2021-02-26,1971
overview,United Kingdom,K02000001,2021-02-25,2047
overview,United Kingdom,K02000001,2021-02-24,2118
overview,United Kingdom,K02000001,2021-02-23,2149
